participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
0,0,0,0,0,7.87889046,compositional,0.0,neg
0,0,1,5,0,6.63450591,compositional,0.0,even
0,0,2,10,0,7.70371451,compositional,0.0,negeven
0,0,0,1,1,6.93647051,compositional,1.0,neg
0,0,1,6,1,1.42637157,compositional,1.0,even
0,0,2,11,1,7.17415271,compositional,1.0,negeven
0,0,0,2,2,6.98255959,compositional,2.0,neg
0,0,1,7,2,6.59850179,compositional,2.0,even
0,0,2,12,2,6.81784564,compositional,2.0,negeven
0,0,0,3,3,5.2273092,compositional,3.0,neg
0,0,1,8,3,0.81000737,compositional,3.0,even
0,0,2,13,3,0.66902362,compositional,3.0,negeven
0,0,0,4,4,5.01647434,compositional,4.0,neg
0,0,1,9,4,7.13294588,compositional,4.0,even
0,0,2,14,5,1.60397131,compositional,4.0,negeven
0,1,0,0,0,5.67648127,compositional,0.0,neg
0,1,1,5,0,2.62448682,compositional,0.0,even
0,1,2,10,0,5.81544728,compositional,0.0,negeven
0,1,0,1,1,5.56236795,compositional,1.0,neg
0,1,1,6,2,2.45089747,compositional,1.0,even
0,1,2,11,1,5.35831821,compositional,1.0,negeven
0,1,0,2,2,4.08129308,compositional,2.0,neg
0,1,1,7,5,0.6028301,compositional,2.0,even
0,1,2,12,2,4.20527165,compositional,2.0,negeven
0,1,0,3,3,3.96902132,compositional,3.0,neg
0,1,1,8,4,3.94628711,compositional,3.0,even
0,1,2,13,4,3.92046929,compositional,3.0,negeven
0,1,0,4,4,2.48344171,compositional,4.0,neg
0,1,1,9,3,0.70137301,compositional,4.0,even
0,1,2,14,5,0.69336327,compositional,4.0,negeven
0,2,0,0,0,8.63002446,compositional,0.0,neg
0,2,1,5,5,8.9445871,compositional,0.0,odd
0,2,2,10,0,8.65610298,compositional,0.0,negodd
0,2,0,1,1,8.42528562,compositional,1.0,neg
0,2,1,6,3,8.55031236,compositional,1.0,odd
0,2,2,11,0,8.74406221,compositional,1.0,negodd
0,2,0,2,2,6.93096175,compositional,2.0,neg
0,2,1,7,1,8.96699294,compositional,2.0,odd
0,2,2,12,0,8.56087885,compositional,2.0,negodd
0,2,0,3,3,6.76765665,compositional,3.0,neg
0,2,1,8,0,3.69864854,compositional,3.0,odd
0,2,2,13,0,8.78358961,compositional,3.0,negodd
0,2,0,4,4,5.40646024,compositional,4.0,neg
0,2,1,9,5,9.13281529,compositional,4.0,odd
0,2,2,14,0,8.62926336,compositional,4.0,negodd
0,3,0,0,0,2.07762225,compositional,0.0,pos
0,3,1,5,0,1.557454,compositional,0.0,odd
0,3,2,10,0,2.03645341,compositional,0.0,posodd
0,3,0,1,1,2.47579911,compositional,1.0,pos
0,3,1,6,1,6.21695905,compositional,1.0,odd
0,3,2,11,1,2.54115814,compositional,1.0,posodd
0,3,0,2,2,3.79061904,compositional,2.0,pos
0,3,1,7,1,6.2693478,compositional,2.0,odd
0,3,2,12,2,3.74502424,compositional,2.0,posodd
0,3,0,3,5,5.34513358,compositional,3.0,pos
0,3,1,8,1,6.04333336,compositional,3.0,odd
0,3,2,13,3,5.58608843,compositional,3.0,posodd
0,3,0,4,5,5.47767956,compositional,4.0,pos
0,3,1,9,3,5.32796579,compositional,4.0,odd
0,3,2,14,4,0.90192431,compositional,4.0,posodd
0,4,0,0,0,6.02419666,compositional,0.0,neg
0,4,1,5,0,5.4689858,compositional,0.0,even
0,4,2,10,0,5.84973909,compositional,0.0,negeven
0,4,0,1,5,2.20173322,compositional,1.0,neg
0,4,1,6,1,1.20869737,compositional,1.0,even
0,4,2,11,1,5.42531519,compositional,1.0,negeven
0,4,0,2,0,5.92931854,compositional,2.0,neg
0,4,1,7,0,5.39363047,compositional,2.0,even
0,4,2,12,2,4.65064154,compositional,2.0,negeven
0,4,0,3,0,6.01408231,compositional,3.0,neg
0,4,1,8,2,5.90214495,compositional,3.0,even
0,4,2,13,3,1.8802576,compositional,3.0,negeven
0,4,0,4,0,5.88255716,compositional,4.0,neg
0,4,1,9,4,5.92350014,compositional,4.0,even
0,4,2,14,5,2.30232324,compositional,4.0,negeven
0,5,0,0,0,5.90934023,compositional,0.0,neg
0,5,1,5,1,10.72101548,compositional,0.0,odd
0,5,2,10,0,5.96266284,compositional,0.0,negodd
0,5,0,1,1,5.3547684,compositional,1.0,neg
0,5,1,6,1,10.81938526,compositional,1.0,odd
0,5,2,11,4,4.59824594,compositional,1.0,negodd
0,5,0,2,2,3.7404911,compositional,2.0,neg
0,5,1,7,1,10.44949248,compositional,2.0,odd
0,5,2,12,0,5.66980478,compositional,2.0,negodd
0,5,0,3,0,5.77494132,compositional,3.0,neg
0,5,1,8,1,10.6177404,compositional,3.0,odd
0,5,2,13,1,5.51882488,compositional,3.0,negodd
0,5,0,4,0,5.94924905,compositional,4.0,neg
0,5,1,9,1,10.78911547,compositional,4.0,odd
0,5,2,14,4,4.62194948,compositional,4.0,negodd
0,6,0,0,0,9.08895237,compositional,0.0,neg
0,6,1,5,0,0.48228457,compositional,0.0,odd
0,6,2,10,0,9.06342801,compositional,0.0,negodd
0,6,0,1,1,7.38125259,compositional,1.0,neg
0,6,1,6,1,6.93132188,compositional,1.0,odd
0,6,2,11,4,0.03244884,compositional,1.0,negodd
0,6,0,2,0,9.10737521,compositional,2.0,neg
0,6,1,7,3,6.07873413,compositional,2.0,odd
0,6,2,12,3,5.99608616,compositional,2.0,negodd
0,6,0,3,0,9.03754759,compositional,3.0,neg
0,6,1,8,5,6.66726468,compositional,3.0,odd
0,6,2,13,5,6.59895018,compositional,3.0,negodd
0,6,0,4,2,6.90972582,compositional,4.0,neg
0,6,1,9,1,7.0704151,compositional,4.0,odd
0,6,2,14,0,9.04858277,compositional,4.0,negodd
0,7,0,0,0,5.39657604,compositional,0.0,neg
0,7,1,5,0,0.29397992,compositional,0.0,odd
0,7,2,10,0,5.2305877,compositional,0.0,negodd
0,7,0,1,1,5.74647576,compositional,1.0,neg
0,7,1,6,1,3.66911418,compositional,1.0,odd
0,7,2,11,1,5.56273867,compositional,1.0,negodd
0,7,0,2,2,4.45596824,compositional,2.0,neg
0,7,1,7,2,0.74500812,compositional,2.0,odd
0,7,2,12,2,4.51206417,compositional,2.0,negodd
0,7,0,3,3,3.29263541,compositional,3.0,neg
0,7,1,8,3,5.02185988,compositional,3.0,odd
0,7,2,13,4,0.90995187,compositional,3.0,negodd
