participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
0,0,0,0,0,6.98863456,compositional,0.0,neg
0,0,1,5,5,7.72830576,compositional,0.0,odd
0,0,2,10,0,10.20735994,compositional,0.0,negodd
0,0,0,1,2,4.84640255,compositional,1.0,neg
0,0,1,6,4,3.32107958,compositional,1.0,odd
0,0,2,11,5,11.41913356,compositional,1.0,negodd
0,0,0,2,1,6.34593602,compositional,2.0,neg
0,0,1,7,3,7.92903191,compositional,2.0,odd
0,0,2,12,2,7.71760032,compositional,2.0,negodd
0,0,0,3,3,4.06290197,compositional,3.0,neg
0,0,1,8,2,2.66988987,compositional,3.0,odd
0,0,2,13,3,12.10958916,compositional,3.0,negodd
0,0,0,4,4,4.60993256,compositional,4.0,neg
0,0,1,9,2,2.4201166,compositional,4.0,odd
0,0,2,14,3,12.07460618,compositional,4.0,negodd
0,1,0,0,0,4.02912619,compositional,0.0,pos
0,1,1,5,5,9.09412148,compositional,0.0,odd
0,1,2,10,5,16.83267655,compositional,0.0,posodd
0,1,0,1,0,4.23991993,compositional,1.0,pos
0,1,1,6,4,2.09963102,compositional,1.0,odd
0,1,2,11,3,15.28307831,compositional,1.0,posodd
0,1,0,2,1,5.18212557,compositional,2.0,pos
0,1,1,7,3,8.29445029,compositional,2.0,odd
0,1,2,12,1,14.50438007,compositional,2.0,posodd
0,1,0,3,2,6.29047421,compositional,3.0,pos
0,1,1,8,1,9.06596755,compositional,3.0,odd
0,1,2,13,0,7.63973812,compositional,3.0,posodd
0,1,0,4,5,8.00926811,compositional,4.0,pos
0,1,1,9,2,1.97303157,compositional,4.0,odd
0,1,2,14,2,7.9940209,compositional,4.0,posodd
0,2,0,0,0,1.63068777,compositional,0.0,pos
0,2,1,5,3,7.11516222,compositional,0.0,odd
0,2,2,10,3,10.13886885,compositional,0.0,posodd
0,2,0,1,5,4.06013958,compositional,1.0,pos
0,2,1,6,1,6.61718115,compositional,1.0,odd
0,2,2,11,1,8.09880325,compositional,1.0,posodd
0,2,0,2,2,2.82603945,compositional,2.0,pos
0,2,1,7,2,0.11242788,compositional,2.0,odd
0,2,2,12,2,2.97763112,compositional,2.0,posodd
0,2,0,3,2,2.78062385,compositional,3.0,pos
0,2,1,8,5,6.40109549,compositional,3.0,odd
0,2,2,13,4,4.4873852,compositional,3.0,posodd
0,2,0,4,4,4.19940158,compositional,4.0,pos
0,2,1,9,0,0.59382893,compositional,4.0,odd
0,2,2,14,5,10.44899507,compositional,4.0,posodd
0,3,0,0,5,4.22097013,compositional,0.0,neg
0,3,1,5,0,0.0,compositional,0.0,odd
0,3,2,10,3,9.4278049,compositional,0.0,negodd
0,3,0,1,4,4.11633347,compositional,1.0,neg
0,3,1,6,5,3.62386318,compositional,1.0,odd
0,3,2,11,2,6.84504325,compositional,1.0,negodd
0,3,0,2,3,6.73276922,compositional,2.0,neg
0,3,1,7,4,1.20892188,compositional,2.0,odd
0,3,2,12,4,5.43921298,compositional,2.0,negodd
0,3,0,3,0,8.68817276,compositional,3.0,neg
0,3,1,8,3,2.70024953,compositional,3.0,odd
0,3,2,13,1,11.34097598,compositional,3.0,negodd
0,3,0,4,1,7.98914539,compositional,4.0,neg
0,3,1,9,2,0.58361662,compositional,4.0,odd
0,3,2,14,5,7.75028462,compositional,4.0,negodd
0,4,0,0,0,5.00348756,compositional,0.0,neg
0,4,1,5,2,2.0618361,compositional,0.0,odd
0,4,2,10,0,7.44106151,compositional,0.0,negodd
0,4,0,1,5,2.96710998,compositional,1.0,neg
0,4,1,6,1,8.16835848,compositional,1.0,odd
0,4,2,11,1,12.94561324,compositional,1.0,negodd
0,4,0,2,0,5.04838386,compositional,2.0,neg
0,4,1,7,1,8.28599749,compositional,2.0,odd
0,4,2,12,3,11.86392508,compositional,2.0,negodd
0,4,0,3,1,4.69503267,compositional,3.0,neg
0,4,1,8,4,1.68406582,compositional,3.0,odd
0,4,2,13,3,11.79478835,compositional,3.0,negodd
0,4,0,4,3,3.66357774,compositional,4.0,neg
0,4,1,9,1,8.22460927,compositional,4.0,odd
0,4,2,14,3,11.9023438,compositional,4.0,negodd
0,5,0,0,0,7.11596871,compositional,0.0,neg
0,5,1,5,0,6.64334403,compositional,0.0,even
0,5,2,10,2,13.07867271,compositional,0.0,negeven
0,5,0,1,5,4.32006361,compositional,1.0,neg
0,5,1,6,5,0.98483255,compositional,1.0,even
0,5,2,11,2,13.17230148,compositional,1.0,negeven
0,5,0,2,3,6.11253244,compositional,2.0,neg
0,5,1,7,2,7.29648619,compositional,2.0,even
0,5,2,12,2,13.21189948,compositional,2.0,negeven
0,5,0,3,2,5.85283088,compositional,3.0,neg
0,5,1,8,2,7.45376597,compositional,3.0,even
0,5,2,13,2,13.43731684,compositional,3.0,negeven
0,5,0,4,0,7.07783278,compositional,4.0,neg
0,5,1,9,2,7.41300649,compositional,4.0,even
0,5,2,14,2,13.21795592,compositional,4.0,negeven
0,6,0,0,5,5.39672223,compositional,0.0,neg
0,6,1,5,0,1.13373193,compositional,0.0,odd
0,6,2,10,0,10.92665584,compositional,0.0,negodd
0,6,0,1,0,9.80168114,compositional,1.0,neg
0,6,1,6,5,6.6920858,compositional,1.0,odd
0,6,2,11,5,12.44149902,compositional,1.0,negodd
0,6,0,2,1,8.55990017,compositional,2.0,neg
0,6,1,7,4,0.39107804,compositional,2.0,odd
0,6,2,12,5,12.19749167,compositional,2.0,negodd
0,6,0,3,0,9.77529898,compositional,3.0,neg
0,6,1,8,5,6.74714052,compositional,3.0,odd
0,6,2,13,5,12.25517964,compositional,3.0,negodd
0,6,0,4,0,10.07366874,compositional,4.0,neg
0,6,1,9,5,6.92117471,compositional,4.0,odd
0,6,2,14,5,12.20459944,compositional,4.0,negodd
0,7,0,0,0,1.84200271,compositional,0.0,pos
0,7,1,5,5,1.67555114,compositional,0.0,even
0,7,2,10,0,9.02719855,compositional,0.0,poseven
0,7,0,1,5,6.14310791,compositional,1.0,pos
0,7,1,6,0,7.17307264,compositional,1.0,even
0,7,2,11,5,7.61737399,compositional,1.0,poseven
0,7,0,2,3,4.69678754,compositional,2.0,pos
0,7,1,7,0,7.12265031,compositional,2.0,even
0,7,2,12,3,6.99780589,compositional,2.0,poseven
0,7,0,3,1,3.73332595,compositional,3.0,pos
0,7,1,8,0,7.22359381,compositional,3.0,even
0,7,2,13,1,5.46783642,compositional,3.0,poseven
0,7,0,4,5,5.91753906,compositional,4.0,pos
0,7,1,9,0,7.17193057,compositional,4.0,even
0,7,2,14,0,9.08631373,compositional,4.0,poseven
0,8,0,0,0,1.40685795,compositional,0.0,pos
0,8,1,5,5,3.20096369,compositional,0.0,even
0,8,2,10,0,12.45996455,compositional,0.0,poseven
0,8,0,1,5,5.27954968,compositional,1.0,pos
0,8,1,6,0,10.81852642,compositional,1.0,even
0,8,2,11,5,8.7773134,compositional,1.0,poseven
0,8,0,2,3,3.27716022,compositional,2.0,pos
0,8,1,7,0,11.12656655,compositional,2.0,even
0,8,2,12,0,12.44452941,compositional,2.0,poseven
0,8,0,3,1,1.65759422,compositional,3.0,pos
0,8,1,8,0,10.9374607,compositional,3.0,even
0,8,2,13,0,12.36169747,compositional,3.0,poseven
0,8,0,4,5,5.1634806,compositional,4.0,pos
0,8,1,9,0,10.95728207,compositional,4.0,even
0,8,2,14,0,12.23358439,compositional,4.0,poseven
0,9,0,0,0,5.01900936,compositional,0.0,neg
0,9,1,5,5,1.10391724,compositional,0.0,even
0,9,2,10,0,9.51544712,compositional,0.0,negeven
0,9,0,1,1,4.95471867,compositional,1.0,neg
0,9,1,6,0,4.29624376,compositional,1.0,even
0,9,2,11,0,9.29563516,compositional,1.0,negeven
0,9,0,2,5,0.81644647,compositional,2.0,neg
0,9,1,7,1,1.48011093,compositional,2.0,even
0,9,2,12,0,9.36253827,compositional,2.0,negeven
0,9,0,3,0,4.96162555,compositional,3.0,neg
0,9,1,8,0,4.32805353,compositional,3.0,even
0,9,2,13,0,9.51633377,compositional,3.0,negeven
0,9,0,4,0,4.90095654,compositional,4.0,neg
0,9,1,9,0,4.46483487,compositional,4.0,even
0,9,2,14,0,9.25920519,compositional,4.0,negeven
0,10,0,0,0,4.25025215,compositional,0.0,neg
0,10,1,5,0,6.73405772,compositional,0.0,even
0,10,2,10,2,10.78172412,compositional,0.0,negeven
0,10,0,1,1,3.7757963,compositional,1.0,neg
0,10,1,6,5,2.49953009,compositional,1.0,even
0,10,2,11,1,5.71044833,compositional,1.0,negeven
0,10,0,2,5,0.60952834,compositional,2.0,neg
0,10,1,7,2,7.13764727,compositional,2.0,even
0,10,2,12,0,11.19015163,compositional,2.0,negeven
0,10,0,3,2,3.61912877,compositional,3.0,neg
0,10,1,8,2,7.17447351,compositional,3.0,even
0,10,2,13,0,11.16448996,compositional,3.0,negeven
0,10,0,4,3,1.7314447,compositional,4.0,neg
0,10,1,9,3,3.20038551,compositional,4.0,even
0,10,2,14,0,10.93866866,compositional,4.0,negeven
0,11,0,0,0,2.76224745,compositional,0.0,pos
0,11,1,5,5,0.4403364,compositional,0.0,even
0,11,2,10,0,8.84178338,compositional,0.0,poseven
0,11,0,1,5,4.61977205,compositional,1.0,pos
0,11,1,6,0,6.43080175,compositional,1.0,even
0,11,2,11,1,2.59129955,compositional,1.0,poseven
0,11,0,2,4,4.18464255,compositional,2.0,pos
0,11,1,7,0,6.5117592,compositional,2.0,even
0,11,2,12,2,9.16656691,compositional,2.0,poseven
0,11,0,3,0,2.55805836,compositional,3.0,pos
0,11,1,8,0,6.46558362,compositional,3.0,even
0,11,2,13,2,9.35597286,compositional,3.0,poseven
0,11,0,4,1,2.15428837,compositional,4.0,pos
0,11,1,9,0,6.4208872,compositional,4.0,even
0,11,2,14,2,9.60801209,compositional,4.0,poseven
0,12,0,0,0,4.79854886,compositional,0.0,pos
0,12,1,5,5,1.22264437,compositional,0.0,even
0,12,2,10,5,8.26518065,compositional,0.0,poseven
0,12,0,1,1,5.65158032,compositional,1.0,pos
0,12,1,6,0,3.57709908,compositional,1.0,even
0,12,2,11,2,10.70764592,compositional,1.0,poseven
0,12,0,2,2,6.88741861,compositional,2.0,pos
0,12,1,7,1,0.34613878,compositional,2.0,even
0,12,2,12,2,10.72046965,compositional,2.0,poseven
0,12,0,3,3,7.12996039,compositional,3.0,pos
0,12,1,8,2,3.8366609,compositional,3.0,even
0,12,2,13,2,10.66361525,compositional,3.0,poseven
0,12,0,4,5,7.44384787,compositional,4.0,pos
0,12,1,9,3,0.83278171,compositional,4.0,even
0,12,2,14,2,10.42844042,compositional,4.0,poseven
0,13,0,0,5,7.67086566,compositional,0.0,pos
0,13,1,5,5,6.81810739,compositional,0.0,odd
0,13,2,10,5,14.59684607,compositional,0.0,posodd
0,13,0,1,4,5.79463563,compositional,1.0,pos
0,13,1,6,0,0.78882621,compositional,1.0,odd
0,13,2,11,5,14.33343409,compositional,1.0,posodd
0,13,0,2,5,7.66290461,compositional,2.0,pos
0,13,1,7,5,7.19405994,compositional,2.0,odd
0,13,2,12,5,14.31682877,compositional,2.0,posodd
0,13,0,3,5,7.38024511,compositional,3.0,pos
0,13,1,8,5,7.08431292,compositional,3.0,odd
0,13,2,13,5,14.24972583,compositional,3.0,posodd
0,13,0,4,5,7.63665128,compositional,4.0,pos
0,13,1,9,5,6.96232269,compositional,4.0,odd
0,13,2,14,5,14.41141982,compositional,4.0,posodd
0,14,0,0,5,9.44040766,compositional,0.0,pos
0,14,1,5,0,3.37418442,compositional,0.0,odd
0,14,2,10,5,17.26138356,compositional,0.0,posodd
0,14,0,1,3,6.94875622,compositional,1.0,pos
0,14,1,6,5,7.92504427,compositional,1.0,odd
0,14,2,11,5,17.32292094,compositional,1.0,posodd
0,14,0,2,5,9.51512645,compositional,2.0,pos
0,14,1,7,5,8.00304493,compositional,2.0,odd
0,14,2,12,5,17.19860177,compositional,2.0,posodd
0,14,0,3,5,9.49506767,compositional,3.0,pos
0,14,1,8,5,7.95616853,compositional,3.0,odd
